REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
136020	188499	6024B	6024b	6024B	5847.59	1745.78	58.7932	17.763	6520315	659663	1200			Biota	VAL-2018-05-14	
136021	264335	STANNA 10			5819.41	1656.18	58.3235	16.9363	6466358	613411	1200			Biota	VAL-2018-05-14	
136022	264336	DJUPA RÄNNAN			5757.47	1112.23	57.9578	11.2038	6430326	275420	1200			Vatten	VAL-2018-05-14	
136023	264337	N 2A-1		N 2A-1	6127.64	1719.12	61.4607	17.3187	6816297	623568	1200			Biota	VAL-2018-05-14	
136024	264338	N 2A-2		N 2A-2	6056.00	1727.07	60.9333	17.4512	6757842	632831	1200			Biota	VAL-2018-05-14	
136025	264339	N 2A-3		N 2A-3	6050.74	1726.74	60.8456	17.4457	6748067	632899	1200			Biota	VAL-2018-05-14	
136026	264340	N 2A-4		N 2A-4	6104.32	1721.14	61.0719	17.3524	6773079	626923	1200			Biota	VAL-2018-05-14	
136027	264341	N 2A-5		N 2A-5	6057.01	1717.37	60.9501	17.2895	6759396	624006	1200			Biota	VAL-2018-05-14	
136028	264342	N 2A-6		N 2A-6	6101.96	1720.92	61.0327	17.3487	6768705	626882	1200			Biota	VAL-2018-05-14	
136029	264343	RF 2		RF 2	6546.86	2228.84	65.781	22.4807	7315883	841786	1200			Biota	VAL-2018-05-14	
136030	196923	KAS 1		KAS 1	6014.62	1840.25	60.2437	18.6708	6684202	703173	1200			Biota		
136031	264344	NK 1		NK 1	6343.85	2116.36	63.7308	21.2727	7082221	809385	1200			Biota	VAL-2018-05-14	
136032	194996	NK 3		NK 2	6338.87	2114.51	63.6479	21.2419	7072872	808769	1200			Biota	VAL-2018-05-14	
136033	264345	NK 5		NK 5	6340.59	2115.06	63.6765	21.2511	7076091	808910	1200			Biota		
136034	264346	NK 6		NK 6	6334.03	2054.44	63.5672	20.9073	7062330	793087	1200			Biota		
136035	264347	NK 8		NK 8	6340.59	2115.05	63.6764	21.2508	7076083	808898	1200			Biota	VAL-2018-05-14	
136036	264348	NK 9		NK 9	6334.05	2054.47	63.5675	20.9079	7062372	793112	1200			Biota	VAL-2018-05-14	
136037	264349	NK XD			6342.24	2118.35	63.704	21.3058	7079405	811307	1200			Vatten	VAL-2018-05-14	
